id;Editeur(s)
1;Ville de Rennes
2;Ville de Pau
3;Ville de Montpellier
4;Ville de Grenoble
5;Ville de Bordeaux
6;Ville d'Angers
7;Université Paris Dauphine - Crédit Foncier
8;Union Social de l'Habitat
9;Union Régionale Hlm en Nouvelle-Aquitaine
10;Unicem Aquitaine
11;UNICEM
12;Traits urbains
13;Tis.pt
14;TIGF
15;Thierry Souccar
16;TERRITORIAL
17;Terres en villes
18;Terre de Liens
19;Terra Nova
20;Syndicat Mixte du Grand Pau
21;Sud-Ouest
22;SUD OUEST
23;Strasbourg.eu
24;Société des Amis du Musée Basque
25;SMTU PPP
26;SMTU Pau Porte des Pyrénées
27;SMESCOTA
28;SM SCOT du Pays de Rennes
29;SilvanaEditoriale
30;Seuil et La République des Idées
31;Seuil
32;Sénat
33;SCURE
34;SciencesPo Les Presses
35;Sciences humaines
36;SARL ÉTÉ
37;SAFER
38;SAEM Euralille
39;Rue de l'échiquier
40;Robert Laffont
41;Rhônalpénergie-Environnement
42;RFSC
43;Revue Urbanisme
44;Revue des équipes d'urbanisme
45;réseau des acteurs de l'habitat
46;Rennes Métropole
47;Région Nouvelle-Aquitaine
48;Région Aquitaine - Dreal Aquitaine
49;Région Aquitaine
50;REGION AQUITAINE
51;REDVERT EUROCITE BASQUE
52;PUG
53;PUF
54;Publications de l'Université de Sainte-Etienne
55;Publications de l'Université de Saint-Etienne
56;Publications d’architecture et d’urbanisme
57;Presses Universitaires du Midi
58;Presses de Sciences Po
59;Presse Universitaire de Bordeaux / LGPA-Editions
60;Préfecture de la Région Midi-Pyrénées
61;PQA
62;POPSU (plateforme d'observation des projets et stratégies urbaines)
63;Plateforme Régionale Territoires et Développement Durable
64;Place Publique Rennes Métropole - La revue Urbaine
65;Place Publique
66;Pierre Mardaga
67;PG Edition
68;PERRIN
69;Pau Béarn Pyrénées
70;Parenthèses
71;PARENTHESES
72;Openfield
73;Opale
74;OISO
75;Office International de l'Eau
76;Office du tourisme du Pays du Seignanx
