id;notice-id;publication-id;Mot clé 1;Mot clé 2;Mot clé 3;Mot clé 4;Mot clé Géographique
1;1;845;Donnée ; cartographie ; planification;;Euskadi
2;2;844;santé ; paysage ; biodiversité;;France
3;3;843;numérique ; anthropocène ; économie circulaire;;Non
4;4;842;santé ; social ; environnement;;International
5;5;841;habitat ; patrimoine bâti ; Histoire;;Pays basque
6;6;840;développement durable ; prospective ; agences d'urbanisme;;France
7;7;839;Ville numérique ; innovation ; Transition énergétique;;France
8;8;838;Planification ; politique de la ville ; développement durable;;Paris
9;9;838;Planification ; politique de la ville ; développement durable;;Paris
10;10;837;espace public ; ville ; société;;International
11;11;836;Atlas ; cartographie ; ville;;International
12;12;835;économie ; Société ; écologie;;France
13;13;834;Politiques de l'habitat ; développement durable ; logement;;France
14;14;833;Politiques publiques ; planification ; collectivités territoriales;;France
15;15;832;Aménagement urbain ; sécurité routière ; voirie urbaine;;France
16;16;832;Aménagement urbain ; sécurité routière ; voirie urbaine;;France
17;17;830;société ; relations sociales ; histoire;;International
18;18;830;société ; relations sociales ; histoire;;International
19;19;829;Prospective ; économie ; région;;Europe
20;20;828;construction ; environnement ; innovation;;France
21;21;827;paysage ; territoires ; ville;;France
22;22;827;paysage ; territoires ; ville;;France
23;23;826;artificialisation des sols ; Biodiversité ; Politiques publiques;;France
24;24;825;agence d'urbanisme ; changement climatique ; transition énergétique;;France
25;25;823;métropole ; transport ; territoire;;Europe
26;26;822;métropole ; emploi ; qualité de vie;;France
27;27;821;agglomération ; loyer ; Parc locatif;;France
28;28;820;santé ; eau potable ; environnement;;France
29;29;819;Numérique ; territoire ; Social;;France
30;30;818;territoire ; transfrontalier ; métropole;;Europe
31;31;817;PLU ; planification ; architecture;;France
32;32;816;agglomération ; sociologie ; ville;;International
33;33;815;quartier ; Politique de la ville ; renouvellement urbain;;France
34;34;814;logement ; immobilier ; aire urbaine;;Pays Basque
35;35;813;agglomération ; centre;ville ; territoire;France
36;36;812;santé ; aménagement du territoire ; qualité de vie;;France
37;37;811;ville ; paysage ; développement économique;;France
38;38;810;métropole ; ville ; histoire;;Bordeaux
39;39;809;sociologie ; société ; démocratie;;France
40;40;809;sociologie ; société ; démocratie;;France
41;41;808;sociologie ; Numérique ; société;;France
42;42;807;ville durable ; écologie ; eau;;International
43;43;806;Développement urbain ; Etalement urbain ; Ville durable;;France
44;44;805;Environnement ; artificialisation des sols ; Biodiversité;;France
45;45;804;vélo ; mobilité douce ; modes de déplacement;;Pyrénées Atlantiques
46;46;803;Changement climatique ; citoyenneté ; Transition énergétique;;France
47;47;802;architecture ; maison individuelle ; ville;;Aquitaine
48;48;801;PLUi ; SCoT ; Aménagement du territoire;;France
49;49;800;tourisme ; logement ; activité économique;;Europe
50;50;799;Ville ; Stratégie urbaine ; Action publique;;France
51;51;798;Aménagement du territoire ; santé ; Ville;;France
52;52;797;Société ; Territoire ; ƒconomie;;France
