id;Mot clé Géographique
1;Adour-Garonne
2;Amiens
3;Angers
4;Anglet
5;Anvers
6;Aquitaine
7;Artois
8;Avignon
9;Barcelone
10;Bayonne
11;Béarn
12;Berlin
13;Besançon
14;Bilbao
15;Bordeaux
16;Brest
17;Bretagne
18;Caen
19;Calvados
20;Clermont-Ferrand
21;Dunkerque
22;Europe
23;Euskadi
24;France
25;Gironde
26;Grenoble
27;Ile-de-France
28;International
29;Italie
30;Landes
31;Le Havre
32;Lille
33;Lisbonne
34;Lorient
35;Lyon
36;Marseille
37;Martinique
38;Midi-Pyrénées
39;Monde
40;Montpellier
41;Nancy
42;Nantes
43;Non
44;Nord-Pas de Calais
45;Normandie
46;Orthez
47;Paris
48;Pau
49;Pays basque
50;Pays Basque et sud des Landes
51;Pays d’Amplepuis-Thizy
52;Pyrénées
53;Pyrénées Atlantiques
54;Pyrénées Atlantiques & Sud des Landes
55;Reims
56;Rennes
57;Rouen
58;Seignanx
59;Stockholm
60;Strasbourg
61;Sud des Landes
62;Toulouse
