id;publication-id;user-id;Date emprunt
1;842;19;17/02/21
2;833;28;09/12/20
3;830;11;24/02/21
4;828;19;09/10/2
6;820;29;29/09/20
7;817;21;09/09/20
8;816;29;04/09/20
9;815;3;26/08/20
11;808;6;03/07/20
12;806;21;07/07/20
13;804;37;03/07/20
14;803;1;03/07/20
16;785;8;05/03/20
18;772;38;10/01/20
19;781;38;06/12/19
20;782;38;06/12/19
21;777;27;27/11/19
22;777;27;21/11/19
23;762;19;13/09/19
24;753;28;06/09/19
25;740;38;05/06/19
26;741;38;05/06/19
27;735;38;04/06/19
28;736;38;04/06/19
29;737;38;04/06/19
30;738;38;04/06/19
31;739;38;04/06/19
32;731;19;17/04/19
33;730;6;12/04/19
34;717;29;12/04/19
39;719;8;27/02/19
41;715;8;22/02/19
42;714;39;20/02/19
44;713;8;15/02/19
46;697;37;05/12/18
47;702;40;04/01/19
48;34;29;26/11/18
49;679;38;23/11/18
50;680;31;21/11/18
51;681;38;23/11/18
52;685;38;23/11/18
53;691;38;23/11/18
54;644;21;20/11/18
55;672;8;06/06/18
56;675;8;06/06/18
57;218;29;24/02/21
58;645;8;20/12/17
59;673;8;06/06/18
60;674;8;06/06/18
61;676;8;06/06/18
62;677;8;06/06/18
63;671;21;07/09/18
64;668;8;04/06/18
65;669;8;04/06/18
66;670;8;04/06/18
67;664;41;18/05/18
69;659;2;09/03/18
70;647;29;01/03/18
71;639;10;21/11/17
72;651;37;26/01/18
73;445;36;16/01/18
75;632;28;11/10/17
76;633;28;11/10/17
78;625;19;13/09/17
79;587;14;27/01/17
80;548;38;07/09/16
81;549;38;07/09/16
82;550;38;07/09/16
83;547;38;07/09/16
84;544;19;05/07/16
85;517;28;23/05/16
86;510;29;24/05/18
87;508;32;04/04/16
88;500;26;08/06/20
89;491;38;08/03/16
91;480;29;17/02/16
92;477;42;08/02/16
93;245;21;04/01/16
94;419;4;18/12/15
95;461;16;02/12/15
96;456;3;09/11/15
98;230;17;24/08/15
100;409;5;06/03/15
101;410;5;06/03/15
102;403;19;18/10/18
103;394;19;23/01/15
104;395;28;23/01/15
105;385;32;06/01/15
106;380;16;12/12/14
107;373;29;11/12/14
108;365;5;13/10/14
109;362;39;17/09/14
110;320;29;01/07/14
111;316;19;04/06/14
112;305;17;17/03/14
113;303;17;14/03/14
114;301;30;13/03/14
115;293;19;06/03/14
117;271;35;11/12/13
118;273;28;29/05/18
119;268;25;15/10/13
120;267;17;09/10/13
124;228;6;11/07/19
125;223;16;13/06/13
126;217;24;29/05/13
127;190;7;19/03/13
128;187;37;21/02/13
129;176;35;25/01/13
130;172;12;18/01/13
132;156;36;17/12/12
134;154;31;30/11/12
135;146;31;04/03/13
136;147;31;22/03/13
137;142;22;28/02/13
138;136;15;15/10/12
139;129;19;08/10/12
140;128;7;08/10/12
141;126;28;02/10/12
142;113;37;10/09/12
143;112;17;03/09/12
144;109;5;16/08/12
145;107;3;24/07/12
147;101;28;20/07/12
150;97;36;12/07/12
151;98;36;12/07/12
152;94;28;06/09/12
153;88;3;27/06/12
154;77;28;29/05/18
155;78;28;29/05/18
159;55;23;05/04/12
162;50;5;02/04/12
163;45;37;23/03/12
165;31;12;23/01/12
166;19;17;13/01/12
167;20;12;13/01/12
168;21;32;13/01/12
169;22;32;13/01/12
170;18;31;12/10/17
