N°;type-id;thematic-id;Titre;author-id;editor-id;Mentions d'édition;Date de publication;Pagination;Tomaison;collection-id;language-id;ISSN - ISBN;Support;Adresse Document Source;Lien URL;localisation-id;Cote;Résumé;Statut;
845;9;1;Udalplan 2020;169;170;Non;01/02/21;111 p.;Non;111;3;1889-7940;Physique;Non;Non;1;AMT 00109;Ce document comprend : le système d'information géographique et banque de données territoriales de la CAPV  - les indicateurs territoriaux de durabilité territoriale et urbanistique  - l'inventaire de planification générale du territoire. ;Disponible;
844;17;10;Paysage de la santé - santé du paysage;152;208;Non;01/10/20;240 p.;N°34;111;5;978-2-330-13582-9-;Physique;Non;Non;1;ENV 00106;Alors qu’il s’agit désormais de s’interroger sur les conditions concrètes et matérielles de la réalisation d’un monde vraiment habitable - la dimension sanitaire de l’environnement ne doit pas être placée au second plan - loin derrière les données économiques et sociales. Car la santé participe pleinement de la réalisation de soi et de la liberté.;Disponible;
843;11;18;Le bonheur était pour demain;333;31;Non;01/04/19;384 p.;Non;8;5;978.2.02.138861.9;Physique;Non;Non;1;HUM 00041;"""Pendant des siècles - les chantres du progrès par la technique et la science appliquée ont promis à l’humanité le bonheur pour demain - ou au plus tard après-demain. L’emballement numérique - la perspective de technologies « révolutionnaires » ou « disruptives » - les limites sans cesse repoussées - les annonces tonitruantes de milliardaires high-tech ont redonné un nouveau souffle aux promesses d’un monde technologique meilleur - d’abondance et de bonheur pour tous - de l’immortalité à la conquête spatiale - en passant par les énergies « propres » et la capacité à « réparer » une planète bien fatiguée. Non content de tailler en pièces ce « technosolutionnisme » béat - du passé comme du présent - ignorant les contraintes du monde physique et de ses ressources limitées - l’auteur questionne aussi les espoirs de changement par de nouveaux modèles économiques plus « circulaires » ou le pouvoir des petits gestes et des « consomm’acteurs » - face aux forces en présence et à l’inertie du système. Une fois balayées les promesses mystificatrices ou simplement naïves - rien n’empêche de rêver - mais les pieds sur terre : nous pouvons mettre en œuvre - dès maintenant et à toutes les échelles - une foule de mesures salutaires. Et si - finalement - le bonheur était bien pour demain ?";Disponible;
842;11;3;Et si… on libérait notre imagination pour créer le futur que nous voulons ?;364;335;Non;01/01/20;336 p.;Non;45;5;978-2-330-13285-9;Physique;Non;Non;1;AMU 00249;Et si… le pouvoir de changer le cours des choses en profondeur était entre nos mains ?  Et si… en réalité - nous avions à disposition - sans en avoir vraiment conscience - un des outils les plus puissants qui existent ? Et si… en plus - on se mettait ensemble pour y arriver ?  Rob Hopkins nous invite à rêver en remettant l’imagination au cœur de nos vies quotidiennes. John Dewey définit l’imagination comme la possibilité de regarder les choses comme si elles pouvaient être autres. C’est cette capacité de pouvoir dire “Et si…” et d’envisager un autre monde plus en cohérence avec nos aspirations et les besoins de notre société.  En ces temps de catastrophes climatiques - de perte de biodiversité - d’insécurité alimentaire - d’appauvrissement des écosystèmes et de crises communautaires - notre futur – sans parler de notre présent – semble plutôt sombre. Pourtant - comme nous le rappelle Rob Hopkins - des changements drastiques - rapides et inattendus sont possibles - et ce pour le meilleur. Il a pu observer les améliorations en cours partout dans le monde. Des individus et des communautés ont d’ores et déjà emprunté le chemin de l’imagination.  Dans cette exploration passionnée - Rob Hopkins interroge le déclin de notre imagination et la manière dont nous pourrions lui redonner de la vigueur. Car - une fois qu’on l’aura fait - plus rien ne nous résistera. Et si… ? est un appel à l’action pour libérer notre imagination collective et initier des changements rapides et profonds pour un meilleur futur.;Non disponible;
841;14;4;ETXEA - La maison et l'habitat au Pays basque;260;178;Non;01/11/20;120 p.;Non;3;5;978-84-9027-075-8;Physique;Non;Non;1;ARC 00010;Etxea - c’est l’élément iconique du Pays Basque - qu’on admire autant qu’on en raconte tout et n’importe quoi. Il n’existait aucun ouvrage de synthèse à la fois sérieux - complet et récent sur ce sujet pourtant archi réclamé. Depuis son impérissable « Etxea ou la maison basque » en 1979 - l’association Lauburu s’est imposée comme la seule spécialiste du patrimoine bâti basque. Ce livre est donc une référence appelée à être durable. ;Disponible;
840;21;1;Traits d'agence : Explorons nos futurs (heureux);174;143;Non;01/10/20;24p.;Non;137;5;Non;En ligne;Non;http://www.fnau.org/wp-content/uploads/2020/10/ta-37-ok-bd.pdf;2;AMT 00107;Représenter nos futurs ! C’est sous le signe de la prospective qu’a été imaginée la 41e rencontre des agences d’urbanisme qui sera organisée en décembre en distanciel par l’agence d’urbanisme de Brest Bretagne (Adeupa) et par la Fnau. Pour préparer la 41e rencontre - les agences d’urbanisme ont décidé de travailler en réseau sur les changements à l’horizon 2040 pour imaginer un « monde d’après » qui aurait réussi à relever les défis des transitions. Questionner l’avenir par les notions de bonheur et de bien-être - de développement durable et de transition écologique réussie - peut sembler naïf - mais c’est ce postulat de futurs souhaitables - mais voulus aussi crédibles - qu’a décidé de retenir le réseau des agences d’urbanisme pour cette démarche de prospective commune - conduite en lien avec l’ANCT et l’École urbaine de Lyon. Ce numéro de Traits d’agences présente différentes facettes des démarches de prospective conduites dans les territoires par les agences d’urbanisme. Certaines se fondent sur la résilience face à la crise de la Covid-19 - d’autres s’appuient sur des imaginaires territoriaux ou des démarches ludiques pour questionner les projets de territoire ou l’émergence de nouvelles politiques publiques mises à l’agenda. L’horizon temporel retenu est souvent 2040 - il représente trois mandats politiques ou encore une génération.;Disponible;
839;21;3;Ville du futur - ville sûre !;271;108;Non;07/12/20;82 p.;Non;111;5;Non;Physique;Non;Non;3;AMU 00248(2);"Santé - surveillance - cybersécurité - résilience - mobilités... Pour la troisième année consécutive - « La Gazette des communes » - « Le Moniteur » - « L’Usine nouvelle » et « L’Usine digitale » - quatre médias professionnels - référents dans leur secteur - se sont associés pour réaliser un numéro spécial consacré à la ville du futur. Et plus particulièrement - la ""safe city"" - ou ""ville sûre"" - dans toutes ses dimensions.";Disponible;
838;21;1;Six décennies d'anticipation en Île-de-France de A à Z;215;137;Non;01/12/20;128 p.;Non;111;5;978-2-7371-2159-3;Physique & en ligne;Non;https://www.institutparisregion.fr/amenagement-et-territoires/six-decennies-danticipation-en-ile-de-france.html;1;AMT 00108;Le présent ouvrage met à l’honneur le principe de l’anticipation - de la vision à long terme - si caractéristique de L’Institut - si nécessaire pour rester dans le coup. En cet anniversaire - le second principe mis à l'honneur est celui de l'humain - les hommes et les femmes qui ont fait et font toujours L’Institut et ses travaux au service de la région - leur esprit pionnier - leur intelligence - leurs compétences - leur sens de la didactique - leur esprit d’équipe - leur bienveillance. Les auteurs de cet ouvrage en offrent un très bel échantillon. Certains ont été de grandes figures qui ont marqué de leurs travaux les réalités de notre Île-de-France d’aujourd’hui. Par le croisement des plumes des actifs et des anciens - ces auteurs nous offrent un témoignage vibrant du continuum de leur culture et de leur attachement à L’Institut.;Disponible;
837;14;3;Lire la ville - Manuel pour une hospitalité de la ville;95;191;Dominique Carré éditeur;24/09/20;255 p.;Non;111;5;978-2-37368-049-2;Physique;Non;Non;1;AMU 00246;Ce livre est un manifeste pour la ville. Ce n’est ni un pamphlet ni une critique amère ou nostalgique de notre réalité. C’est un manuel pratique qui s’adosse à une pensée et à une éthique de la ville - qui part de l’existant et tente de le saisir. L’ouvrage croise les dimensions spatiales et sociales de la ville. Il ne cherche pas à convaincre. Il expose - pas à pas - le bénéfice que représenterait pour tous - individuellement et collectivement - un espace public civil - favorisant la citoyenneté - l’égalité et la solidarité. L’ouvrage - composé de 19 entrées thématiques (bancs - sols - gares - sûreté urbaine…) - propose un choix de préconisations qui - sans prétendre à l’exhaustivité ni à la perfection - tendent vers une éthique des interventions dans la ville. Chaque entrée - éclairée par les enjeux anthropologiques et politiques de l’espace public - comporte des recommandations - explore des aspects pratiques - évoque quelques-unes de ses dimensions sémantiques - historiques ou artistiques. Des exemples - des contre-exemples - des illustrations - une marche à suivre permettent de penser les différentes problématiques en regard de cas concrets. L’ouvrage intéressera tout un chacun - des élus et des aménageurs aux amoureux de la poétique urbaine.;Disponible;
836;2;3;Atlas des mondes urbains;163;34;Laurence de Bélizal - Nathalie David - Nathalie Larmanjat;30/10/20;143 p.;Non;111;5;978-2-7246-2610-0;Physique;Non;Non;1;AMU 00245;Aux sources classiques des organisations internationales et des réseaux de villes - les auteurs de cet Atlas des mondes urbains ont confronté l'éventail des nouvelles possibilités offertes par le numérique - multiplié les échelles et se sont affranchis des spatialités territoriales usuelles. Voici une cartographie inédite de la planète des citadins. Sept humains sur dix vivent en ville. Des mégapoles se forment sur tous les continents. Partout le bâti s'étale et se standardise - les mondes ruraux disparaissent - les modes de vie s’uniformisent et - dans le même temps - les inégalités se creusent. La généralisation de l’urbain réchauffe la planète - détruit la biodiversité et nous rend encore plus vulnérables face au changement climatique. Mais les villes sont aussi notre bien commun. Elles sont des lieux de production de richesses - d’innovation - de création culturelle - de solidarité et de résilience. Elles fascinent par leur gigantisme - leurs foules et leurs innombrables activités - laissant dans l’ombre une autre réalité : la myriade de villes petites et intermédiaires qui composent l’essentiel des mondes urbains d’aujourd’hui. Celles des pays dits en développement - en particulier - dont les « basses technologies » sont loin d’affecter autant l’avenir de la planète que les métropoles mondialisées.  Pour explorer les mondes urbains - les auteurs de cet atlas ont défriché de multiples champs hétéroclites. Aux sources classiques des organisations internationales et des réseaux de villes - ils ont confronté l’éventail des nouvelles possibilités offertes par le numérique - multiplié les échelles et se sont affranchis des spatialités territoriales usuelles. Voici une cartographie inédite de la planète des citadins. ;Disponible;
